15005.38 3.584432e+05 1.219929e+02
15005.48 3.603847e+05 1.148901e+02
15005.57 3.574334e+05 1.042397e+02
15005.67 3.704067e+05 1.033350e+02
15005.77 3.802736e+05 1.114412e+02
15005.86 3.765900e+05 1.204148e+02
15005.96 3.702257e+05 1.274771e+02
15006.06 3.738581e+05 1.330603e+02
15006.16 3.786219e+05 1.346805e+02
15006.25 3.766257e+05 1.353981e+02
15006.35 3.718736e+05 1.361794e+02
15006.45 3.737957e+05 1.377607e+02
15006.54 3.768330e+05 1.376617e+02
15006.64 3.766688e+05 1.379123e+02
15006.74 3.723461e+05 1.362724e+02
15006.83 3.763270e+05 1.382557e+02
15006.93 3.805754e+05 1.380364e+02
15007.03 3.798756e+05 1.364201e+02
15007.12 3.795691e+05 1.350182e+02
15007.22 3.740669e+05 1.314954e+02
15007.32 3.729649e+05 1.291485e+02
15007.41 3.673401e+05 1.240729e+02
15007.51 3.603064e+05 1.139439e+02
15007.61 3.684086e+05 1.003921e+02
15007.71 3.597774e+05 7.787630e+01
15007.80 3.533462e+05 5.424000e+01
15007.90 3.843466e+05 4.781560e+01
15008.00 4.030450e+05 6.493320e+01
15008.09 3.904486e+05 8.778460e+01
15008.19 3.841271e+05 1.066156e+02
15008.29 3.767607e+05 1.160591e+02
15008.38 3.730475e+05 1.196137e+02
15008.48 3.727803e+05 1.175006e+02
15008.58 3.793681e+05 1.148013e+02
15008.67 3.876031e+05 1.196241e+02
15008.77 3.841665e+05 1.240674e+02
15008.87 3.785366e+05 1.275845e+02
15008.96 3.781661e+05 1.323849e+02
15009.06 3.765369e+05 1.340867e+02
15009.16 3.833608e+05 1.351461e+02
15009.25 3.795308e+05 1.331673e+02
15009.35 3.777359e+05 1.317193e+02
15009.45 3.819214e+05 1.322645e+02
15009.54 3.829518e+05 1.346998e+02
15009.64 3.854664e+05 1.364980e+02
15009.74 3.820227e+05 1.358741e+02
15009.83 3.770468e+05 1.356118e+02
15009.93 3.805857e+05 1.367934e+02
15010.02 3.827016e+05 1.374514e+02
15010.12 3.760040e+05 1.356430e+02
15010.22 3.813932e+05 1.373109e+02
15010.31 3.850967e+05 1.358305e+02
15010.41 3.855110e+05 1.352843e+02
15010.51 3.857424e+05 1.344754e+02
15010.60 3.849439e+05 1.326371e+02
15010.70 3.748090e+05 1.269384e+02
15010.80 3.813116e+05 1.236766e+02
15010.89 3.714460e+05 1.174591e+02
15010.99 3.717156e+05 1.157559e+02
15011.09 3.728606e+05 1.175045e+02
15011.18 3.633500e+05 1.161938e+02
15011.28 3.644038e+05 1.132820e+02
15011.38 3.736053e+05 1.106901e+02
15011.47 3.685217e+05 1.089572e+02
